id,lat,lon,flock
2859100037,46.7024434,16.7885351,0
2863430415,52.6106649,13.3186914,0
2863431117,52.6105526,13.3180419,0
2882527331,60.180988,11.172824,0
2890054719,-32.9251279,-60.7655185,0
2916778412,40.0439447,-85.971456,1
2926280589,49.1235681,9.738392,0
2928194200,53.0880558,8.8126228,0
2938289383,42.3495028,-71.0317032,0
2938306542,42.3496075,-71.0318694,0
2946316734,43.0931061,-85.636699,1
2960408822,-34.5894106,-58.5184321,0
2986637275,41.7508605,-87.6253803,0
2990489748,49.6756535,25.1368676,0
2990596387,49.6821755,25.111888,0
2996195894,43.7233465,10.398395,0
2996195895,43.7199367,10.3956107,0
3019454391,-34.6112411,-58.5290251,0
3019454392,-34.6112141,-58.5288459,0
3025450425,51.2019161,4.4127094,0
3044881750,42.4524616,-76.5148552,1
3049183315,53.3818188,58.961746,0
3049183316,53.4060797,58.9855617,0
3051280350,46.8813225,17.9855346,0
3056777211,-34.567968,-58.4294171,0
3070903726,47.8483203,21.069086,0
3070908488,47.8613827,21.0438614,0
3072263626,48.0486567,20.8527261,0
3104420730,53.9197356,10.6987122,0
3115121048,51.0401268,7.0080155,0
3143503022,40.1204017,-105.9043529,1
3148977935,50.7982134,7.1178655,0
3150691290,54.1881308,15.6083897,0
3150691291,54.1882064,15.6084148,0
3151851060,55.7899815,38.4308137,0
3163645743,51.7742475,14.0863095,0
3168025025,33.8462068,-117.5346619,0
3170868403,59.916685,10.812422,0
3173677567,51.541487,9.9441454,0
3184127087,28.5477096,-81.7255075,1
3200193530,53.0861874,-3.7969697,0
3238793340,33.8462235,-117.5347923,0
3249667421,37.79754,-121.2347248,0
3253185026,32.6786336,-97.0071852,1
3264222645,51.3276075,4.5356912,0
3264677525,51.3267813,4.5348326,0
3265639230,46.4455282,18.7064274,0
3266024564,51.0835882,5.0841155,0
3285669263,51.3122882,4.5521741,0
3305047188,51.097595,-0.2299325,0
3310851893,53.7792759,-1.5238592,0
3310851894,53.7965282,-1.5354056,0
3321044307,41.1093579,-73.7958927,0
3329545164,41.0735394,-73.7733326,0
3340157470,42.3513255,-71.1124778,0
3358108593,43.715333,10.4070267,0
3358118456,43.7167561,10.4072549,0
3358120379,43.7115813,10.4055519,0
3358378465,35.72485,-83.5101123,1
3365874522,47.0624627,18.8835463,0
3379654702,42.0126763,-4.5150433,0
3401745895,53.4236735,-1.0232894,0
3424391750,46.4953337,11.3553017,0
3424391755,46.4987456,11.3569315,0
3424391758,46.500052,11.3495648,0
3424391760,46.5009143,11.3513299,0
3473933810,51.9757177,1.3296479,0
3473933811,51.9757078,1.3296922,0
3473933812,51.9758135,1.3299095,0
3473933813,51.9757987,1.3299604,0
3475104154,39.5155865,-84.779045,1
3476883086,59.917414,10.687036,0
3483939523,43.7107751,10.4005109,0
3522202062,44.0933584,-123.0958723,1
3527784863,42.5431904,-6.5934188,0
3590114695,37.9797303,-87.4697274,1
3590435156,51.7527119,-1.2525522,0
